x,y,result
100.23,139.4,hit
77.09,201.87,hit
68.99,167.36,out
83.48,115.46000000000001,hit
168.58,113.63999999999999,out
60.66,180.6,hit
100.14,77.46000000000001,out
226.95,151.11,hit
172.37,165.66,hit
102.22,204.09,out
138.73,119.13,out
97.7,84.41,out
175.21,152.05,hit
222.27,146.95,hit
109.67,110.21000000000001,out
135.81,97.57,out
54.11,166.43,hit
110.97,76.36000000000001,out
116.78,110.56,hit
172.15,104.09,out
144.86,115.16999999999999,out
224.53,166.51999999999998,hit
159.51,116.41,out
45.12,144.16,hit
127.65,73.75999999999999,out
113.94,95.55000000000001,out
164.3,64.85,out
159.73,113.07,hit
110.59,95.24000000000001,out
80.8,129.74,out
144.26,195.92000000000002,out
109.24,159.35,hit
57.74,126.04,hit
155.8,60.31,out
127.85,206.05,out
152.31,183.75,out
70.05,162.24,out
123.76,204.56,out
165.73,93.71000000000001,out
109.16,88.32,out
126.27,116.99000000000001,out
58.0,174.0,hit
110.22,118.59,out
62.83,183.07,hit
168.51,88.27000000000001,out
87.35,101.77000000000001,out
213.51,166.3,hit
116.06,103.1,out
79.02,168.67000000000002,out
136.63,123.66,out
103.03,85.22,out
177.11,201.99,hit
102.54,113.41,out
183.37,148.51,out
112.56,102.28999999999999,out
149.15,170.3,out
159.13,149.07,out
129.43,199.94,out
136.18,111.63,out
173.31,200.57999999999998,hit
155.19,85.9,out
92.22,133.55,out
158.99,90.77000000000001,out
109.3,142.49,hit
133.07,108.75999999999999,out
192.35,146.87,hit
160.27,161.12,hit
114.92,109.86000000000001,out
130.92,201.32,out
113.22,104.47,out
47.8,173.69,hit
134.01,164.69,hit
88.94,197.29,out
113.26,170.7,hit
104.15,87.68,out
127.95,163.70999999999998,out
165.42,132.45,out
154.96,213.0,hit
109.66,91.99000000000001,out
119.55,58.21000000000001,out
196.06,177.03,out
157.57,130.17000000000002,out
106.61,100.12,out
104.53,145.03,out
156.71,105.37,out
78.71,134.69,hit
156.88,93.24000000000001,hit
86.73,157.04000000000002,hit
112.35,71.34,out
117.77,155.03,hit
157.16,171.92000000000002,out
129.34,176.59,hit
48.19,146.01999999999998,out
111.63,97.25,out
208.69,155.32999999999998,hit
50.85,136.69,out
62.48,196.74,hit
188.3,133.67000000000002,out
70.59,131.64,hit
155.3,154.85,hit
62.26,138.92000000000002,out
100.02,95.03999999999999,out
54.7,117.31,hit
82.26,118.41999999999999,hit
171.29,153.23000000000002,hit
33.01,145.20999999999998,hit
107.25,133.51,out
110.16,101.13999999999999,out
120.31,108.25999999999999,out
231.7,160.89,hit
148.22,88.94,out
68.32,138.26999999999998,hit
