Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,LAA,,HOU,L,1,3,,0-1,5,1.0,Valdez,Ohtani,Pressly,3:15,N,44723,.98,-,
2,Friday Apr 8,boxscore,LAA,,HOU,L,6,13,,0-2,5,2.0,Montero,Ortega,,3:44,N,42719,.93,--,
3,Saturday Apr 9,boxscore,LAA,,HOU,W,2,0,,1-2,3,1.5,Syndergaard,Verlander,Iglesias,3:02,N,36139,.93,+,
4,Sunday Apr 10,boxscore,LAA,,HOU,L,1,4,,1-3,5,2.0,Urquidy,Suarez,Pressly,3:15,D,41253,.96,-,
5,Monday Apr 11,boxscore,LAA,,MIA,W,6,2,,2-3,4,1.5,Lorenzen,Hernandez,,2:42,N,20480,.83,+,
6,Tuesday Apr 12,boxscore,LAA,,MIA,W-wo,4,3,,3-3,2,1.5,Iglesias,Bender,,2:59,D,16132,.84,++,
7,Thursday Apr 14,boxscore,LAA,@,TEX,L,5,10,,3-4,3,1.5,King,Ohtani,,3:30,N,21440,.97,-,
8,Friday Apr 15,boxscore,LAA,@,TEX,W,9,6,,4-4,2,0.5,Warren,Allard,Iglesias,3:32,N,28723,.95,+,
9,Saturday Apr 16,boxscore,LAA,@,TEX,W,7,2,,5-4,2,0.5,Syndergaard,Hearn,,3:10,N,34493,1.00,++,
10,Sunday Apr 17,boxscore,LAA,@,TEX,W,8,3,,6-4,1,up 0.5,Mayers,Perez,,3:25,D,22650,1.07,+++,
11,Monday Apr 18,boxscore,LAA,@,HOU,L,3,8,,6-5,2,0.5,Garcia,Lorenzen,,3:22,N,42646,1.12,-,
12,Tuesday Apr 19,boxscore,LAA,@,HOU,W,7,2,,7-5,1,Tied,Ortega,Valdez,,3:36,N,30212,1.11,+,
13,Wednesday Apr 20,boxscore,LAA,@,HOU,W,6,0,,8-5,1,up 0.5,Ohtani,Odorizzi,,3:08,N,29049,1.14,++,
14,Friday Apr 22,boxscore,LAA,,BAL,L,3,5,,8-6,1,Tied,Zimmermann,Detmers,Lopez,2:55,N,31679,1.11,-,
15,Saturday Apr 23,boxscore,LAA,,BAL,L,4,5,,8-7,2,1.0,Baker,Loup,Lopez,3:11,N,43883,1.04,--,
16,Sunday Apr 24,boxscore,LAA,,BAL,W,7,6,,9-7,2,1.0,Herget,Baumann,Bradley,3:42,D,41984,1.09,+,
17,Monday Apr 25,boxscore,LAA,,CLE,W,3,0,,10-7,2,0.5,Lorenzen,Bieber,Iglesias,2:22,N,23099,1.10,++,
18,Tuesday Apr 26,boxscore,LAA,,CLE,W,4,1,,11-7,2,0.5,Sandoval,McKenzie,Iglesias,2:34,N,22551,1.12,+++,
19,Wednesday Apr 27,boxscore,LAA,,CLE,W,9,5,,12-7,1,up 0.5,Ohtani,Plesac,,3:12,N,28557,1.14,++++,
20,Thursday Apr 28,boxscore,LAA,,CLE,W,4,1,,13-7,1,up 1.5,Detmers,Quantrill,Iglesias,2:35,D,18826,1.18,+++++,
21,Friday Apr 29,boxscore,LAA,@,CHW,W,5,1,,14-7,1,up 2.5,Warren,Giolito,Iglesias,3:19,N,23709,1.15,++++++,
22,Saturday Apr 30,boxscore,LAA,@,CHW,L,0,4,,14-8,1,up 2.5,Velasquez,Suarez,,2:55,D,33762,1.22,-,
23,Sunday May 1,boxscore,LAA,@,CHW,W,6,5,,15-8,1,up 2.5,Lorenzen,Keuchel,Tepera,3:15,D,27664,1.19,+,
24,Monday May 2,boxscore,LAA,@,CHW,L,0,3,,15-9,1,up 2.5,Cease,Sandoval,Hendriks,2:39,D,13112,1.25,-,
25,Tuesday May 3,boxscore,LAA,@,BOS,L,0,4,,15-10,1,up 1.5,Wacha,Syndergaard,,2:23,N,29793,1.21,--,
26,Wednesday May 4,boxscore,LAA,@,BOS,W,10,5,10,16-10,1,up 1.5,Tepera,Barnes,,3:42,N,27679,1.20,+,
27,Thursday May 5,boxscore,LAA,@,BOS,W,8,0,,17-10,1,up 1.5,Ohtani,Houck,,2:55,D,29476,1.25,++,
28,Friday May 6,boxscore,LAA,,WSN,W,3,0,,18-10,1,up 1.5,Diaz,Adon,Iglesias,2:28,N,41923,1.19,+++,
29,Saturday May 7,boxscore,LAA,,WSN,L,3,7,,18-11,1,up 0.5,Gray,Lorenzen,,3:02,N,30666,1.22,-,
30,Sunday May 8,boxscore,LAA,,WSN,W-wo,5,4,,19-11,1,up 0.5,Barria,Rainey,,3:26,D,32337,1.17,+,
31,Monday May 9,boxscore,LAA,,TBR,W,11,3,,20-11,1,up 1.0,Syndergaard,Springs,,3:02,N,19537,1.28,++,
32,Tuesday May 10,boxscore,LAA,,TBR,W,12,0,,21-11,1,up 1.0,Detmers,Kluber,,2:19,N,39313,1.29,+++,
33,Wednesday May 11,boxscore,LAA,,TBR,L,2,4,10,21-12,1,Tied,Feyereisen,Loup,Raley,3:17,D,21045,1.28,-,
34,Friday May 13,boxscore,LAA,@,OAK,W,2,0,,22-12,2,0.5,Silseth,Jefferies,Iglesias,2:30,N,13992,1.24,+,
35,Saturday May 14 (1),boxscore,LAA,@,OAK,L-wo,3,4,,22-13,1,Tied,Trivino,Iglesias,,3:18,D,12719,1.26,-,
36,Saturday May 14 (2),boxscore,LAA,@,OAK,W,9,1,,23-13,1,Tied,Lorenzen,Oller,,2:47,N,7737,1.28,+,
37,Sunday May 15,boxscore,LAA,@,OAK,W,4,1,,24-13,1,Tied,Sandoval,Montas,Herget,3:29,D,14668,1.25,++,
38,Monday May 16,boxscore,LAA,@,TEX,L,4,7,,24-14,1,Tied,Gray,Syndergaard,Barlow,2:51,N,15110,1.26,-,
39,Tuesday May 17,boxscore,LAA,@,TEX,L,5,10,,24-15,2,1.0,Santana,Tepera,,3:58,N,17727,1.24,--,
40,Wednesday May 18,boxscore,LAA,@,TEX,L-wo,5,6,10,24-16,2,1.0,Santana,Iglesias,,3:23,N,20366,1.28,---,
41,Friday May 20,boxscore,LAA,,OAK,L,2,4,,24-17,2,1.5,Moll,Silseth,Jimenez,3:24,N,32422,1.29,----,
