name,href,uri,popularity,album_name,release_date,album_uri,artist_name,artist_uri,genres,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
Melting Sun IV: Jade Fields,https://api.spotify.com/v1/tracks/1GM34ehWYHU7v86YhaBEnc,spotify:track:1GM34ehWYHU7v86YhaBEnc,0,Melting Sun,2014-05-02,spotify:album:214nf2L35OVQLhX7yUyfKQ,Lantlôs,spotify:artist:1cbBzQxiKcZCsit68iTbTJ,"['atmospheric black metal', 'blackgaze', 'doomgaze', 'german black metal', 'post-metal']",0.549,0.883,0.0355,5.72e-05,0.705,0.175,0.0933
Brume Unique Obscurité - Pt. 1,https://api.spotify.com/v1/tracks/6zzyViMDb5NyeAcsvrffoO,spotify:track:6zzyViMDb5NyeAcsvrffoO,11,Acid Mist Tomorrow,2011,spotify:album:7MBNH9kXUB8ddpYcbqlsDG,Hypno5e,spotify:artist:5bPOuhK95xuq1UKdiqsysz,"['avant-garde metal', 'djent']",0.233,0.419,0.0379,0.639,0.611,0.134,0.0566
Imagination,https://api.spotify.com/v1/tracks/47Au9gs4EFabXhFVBTg6Xk,spotify:track:47Au9gs4EFabXhFVBTg6Xk,34,Imagination,2020-06-07,spotify:album:2c4cBfQgxCqw0FSM0Ti0XV,iGerman,spotify:artist:4hkHAVlTVsZxt1CwaKlNVk,[],0.737,0.848,0.198,0.0193,0.00359,0.07,0.322
Squishy Caterpillars Riding On Bullets,https://api.spotify.com/v1/tracks/2cPxTPqijwFVpLxfszJnxQ,spotify:track:2cPxTPqijwFVpLxfszJnxQ,44,Squishy Caterpillars Riding On Bullets,2021-08-22,spotify:album:6aIUqbBn9Nq0k3X2iqozWL,Istasha,spotify:artist:5D8TBtxnP5GZm9wUBQ8OTc,"['dark trap', 'viral rap']",0.72,0.683,0.0537,0.0238,0.59,0.538,0.299
The Lure (Interlude),https://api.spotify.com/v1/tracks/1yxPTjkJXaNUYafPWPIjRx,spotify:track:1yxPTjkJXaNUYafPWPIjRx,16,Eternal Kingdom,2008,spotify:album:51fF4JNsyx99YAWixRgmVh,Cult Of Luna,spotify:artist:7E7fJJpdVgr1F3pfAfRtHe,"['atmospheric sludge', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock', 'progressive sludge', 'slayer', 'sludge metal', 'swedish doom metal', 'swedish progressive metal']",0.278,0.269,0.0285,0.891,0.784,0.237,0.244
Isolate,https://api.spotify.com/v1/tracks/7kPvCfSOkLEs95dcd7G6EO,spotify:track:7kPvCfSOkLEs95dcd7G6EO,0,Wait For Me,2009-06-26,spotify:album:1GzCmHwV9EIjXxK7E3spXl,Moby,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,"['downtempo', 'electronica']",0.53,0.272,0.0299,0.906,0.935,0.149,0.135
Ocarina of Time - Song of Storms (Instrumental Remix) (The Legend of Zelda),https://api.spotify.com/v1/tracks/4GoOvxHNNv6jb13HUpxSjN,spotify:track:4GoOvxHNNv6jb13HUpxSjN,29,The Legend of Zelda - Ocarina of Time (Mastered) (Select Soundtrack),2012-08-09,spotify:album:7eAJgISHqRsXGToqU6R1s3,Monsalve,spotify:artist:0fagNxnyvy6FDvkNPt6X29,['scorecore'],0.204,0.472,0.0376,0.923,0.935,0.455,0.379
Pac Man - Trap Remix,https://api.spotify.com/v1/tracks/50lgExvi3idU6XZ5HW44aY,spotify:track:50lgExvi3idU6XZ5HW44aY,36,Pac-Man (Trap Remix),2015-04-26,spotify:album:1wesFiXytOWsG4hrsFxvlF,Joe Monday,spotify:artist:0eHf3EUXCAKFOh49PzmZzk,[],0.742,0.583,0.0511,0.0468,0.528,0.259,0.375
Lost Woods Hardstyle,https://api.spotify.com/v1/tracks/2wEOkYyaXOMp1ZMA0Oa6ln,spotify:track:2wEOkYyaXOMp1ZMA0Oa6ln,38,Lost Woods Hardstyle,2013-11-07,spotify:album:2S1STgJNbja8Gz0fMtQcQp,DJ Zenit,spotify:artist:1eZwRm0PaSRRF4ihMnibUy,[],0.445,0.714,0.028,0.00682,0.943,0.108,0.58
Condemned to the Gallows,https://api.spotify.com/v1/tracks/26zVufX9OHnePGHVj58x69,spotify:track:26zVufX9OHnePGHVj58x69,15,Condemned to the Gallows,2018-01-19,spotify:album:6zT7A9hiGNmmSn9wBIzWoC,Between The Buried And Me,spotify:artist:2JC4hZm1egeJDEolLsMwZ9,"['deathcore', 'djent', 'jazz metal', 'mathcore', 'melodic metalcore', 'north carolina metal', 'progressive metal']",0.296,0.924,0.0958,0.00088,0.0895,0.233,0.0992
